especie,latitude,longitude,ano,month,institutionCode,basisOfRecord
Megaptera novaeangliae,-16.45,-38.95,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.357222,-41.449722,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-27.7414,-46.376183,2023,NA,PGS,HumanObservation
Megaptera novaeangliae,-24.853611,-42.516667,2011,NA,PGS,HumanObservation
Megaptera novaeangliae,-14.7783,-38.9111,2024,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.99725,-38.71844,2021,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.93872,-38.95798,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.35,-40.05,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.0743,-43.31772,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.381061,-39.994844,2023,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.89165,-39.02148,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.003624,-42.013993,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.315278,-41.070278,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.602222,-41.721389,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2016,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.0212,-40.1585,2002,NA,UFPE,HumanObservation
Megaptera novaeangliae,-16.45,-39,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57855,-37.92945,2016,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.90727,-38.96919,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2015,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.62427,-39.92981,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-24.269722,-42.532222,2009,NA,PGS,HumanObservation
Megaptera novaeangliae,-20.286389,-40.090556,2017,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-22.987445,-42.020555,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.17486,-43.72989,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.95898,-38.76946,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.68602,-37.97484,2013,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-27.796417,-46.011233,2023,NA,PGS,HumanObservation
Megaptera novaeangliae,-12.67005,-37.92574,2016,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-22.992488,-42.017067,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-24.838333,-42.465278,2011,NA,PGS,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.69704,-37.94371,2016,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.484444,-41.630278,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-20.475265,-40.100098,2017,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.293183,-39.895783,2017,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-14.7397,-38.935833,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.981808,-38.70243,1991,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.006693,-42.017083,2021,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.65025,-37.95774,2013,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.62063,-37.87131,2016,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-14.711467,-38.997345,2023,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-27.547083,-46.433483,2023,NA,PGS,HumanObservation
Megaptera novaeangliae,-13.08948,-38.40145,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.011492,-42.019203,2020,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.002799,-42.012841,2025,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-25.525278,-42.909167,2008,NA,PGS,HumanObservation
Megaptera novaeangliae,-23.063658,-43.159813,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2004,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.91,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2021,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2023,7,Happywhale.com,HumanObservation
